No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
11,25.49,0.06,1.250,Cepheids,2016AJ....151...88B,"69, JHKs, GAL+LMC PL",,,,
10,25.47,0.06,1.240,Cepheids,2016AJ....151...88B,"69, JHKs, LMC PL",,,,
9,25.45,0.09,1.230,Cepheids,2016AJ....151...88B,"69, JHKs, GAL PL",,,,
23,25.55,0.09,1.270,FGLR,2014ApJ...785..151H,,,,,
47,25.69,0.06,1.370,Statistical,2013AJ....146...86T,"Mean of Cepheids, TRGB, and Tully-Fisher",,,74.40,
52,26.22,0.06,1.750,Orbital Mech.,2013A&A...559L..11B,,,,,
29,25.49,0.05,1.250,TRGB,2011AJ....141..194G,J,,,,
26,25.42,0.05,1.210,TRGB,2011AJ....141..194G,K,,,,
30,25.50,0.04,1.260,TRGB,2009ApJS..183...67D,I,,,,
33,25.55,0.03,1.290,TRGB,2009ApJS..183...67D,I,,,,
41,25.62,0.10,1.330,TRGB,2009AJ....138..332J,I,,,,
37,25.61,0.10,1.320,TRGB,2008AJ....136.2332H,VI,,,,
34,25.56,0.05,1.290,TRGB,2007ApJ...661..815R,I,,,,
16,25.57,0.02,1.300,Cepheids,2006ApJ...648..375S,"77, JK",,,,
15,25.54,0.03,1.280,Cepheids,2006ApJ...648..366P,"76, VI",,,,
42,25.63,0.03,1.340,TRGB,2006AJ....132..729T,,,,,
14,25.54,0.28,1.280,Cepheids,2004ApJ...608...42S,LMC VIHJK,,,,
32,25.52,0.05,1.270,TRGB,2004ApJ...608...42S,,,,,
31,25.52,0.06,1.270,TRGB,2002AJ....124..213M,,,,,
40,25.62,0.13,1.330,TRGB,2002A&A...389..812K,,,,,
8,25.38,0.22,1.190,Cepheids,2002A&A...389...19P,MW HIPP,,,,
4,25.20,0.31,1.100,Cepheids,2002A&A...389...19P,MW P02,,,,
3,25.10,0.16,1.050,Cepheids,2002A&A...389...19P,MW GFG,,,,
2,25.10,0.16,1.050,Cepheids,2002A&A...383..398P,"31, VI",,,,
7,25.27,0.12,1.130,Cepheids,2001ApJ...548..564W,LMC W01,,,,
6,25.26,0.22,1.130,Cepheids,2000ApJS..128..431F,"4, BVRI",,,,
5,25.26,0.22,1.130,Cepheids,2000ApJ...529..745F,HST KP Calibrated,,,,
35,25.60,0.09,1.320,TRGB,2000ApJ...529..745F,HST KP Calibrated,,,,
25,26.26,0.41,1.790,PNLF,2000ApJ...529..745F,"HST KP Calibrated, max. D",,,,
39,25.62,0.10,1.330,TRGB,1999AJ....117..881M,I,,,,
45,25.74,,1.410,TRGB,1998MNRAS.298..166S,K97,,,,
44,25.69,,1.370,TRGB,1998MNRAS.298..166S,Yale,,,,
38,25.61,,1.320,TRGB,1998MNRAS.298..166S,DA90,,,,
43,25.65,,1.350,TRGB,1997MNRAS.289..406S,theory,,,,
13,25.50,,1.260,Cepheids,1997MNRAS.289..406S,,,,,
36,25.61,,1.320,TRGB,1997MNRAS.289..406S,,,,,
17,25.67,0.16,1.360,Cepheids,1997AJ....114..976M,"24, BVRI",,,,
28,25.45,0.10,1.230,TRGB,1993ApJ...417..553L,I,,,,
27,25.45,0.15,1.230,TRGB,1993ApJ...408..409L,,,,,
1,25.05,,1.020,Cepheids,1993AJ....105.1392D,,,,,
12,25.50,0.20,1.260,Cepheids,1992AJ....103.1151C,"21, BV",,,,
24,25.96,0.40,1.600,PNLF,1992AJ....103...54R,7,,,,
18,25.94,,1.540,Cepheids,1991PASP..103..933M,"29, B",,,,
22,26.35,,1.860,Cepheids,1988PASP..100..935S,"Photographic, APPARENT BLUE m-M",,,,
51,26.22,0.40,1.800,Tully-Fisher,1988NBGC.C....0000T,B,,,75.00,
20,26.00,,1.580,Cepheids,1988AJ.....96.1599S,"29, B",,,,
21,26.10,0.08,1.660,Cepheids,1987SAAOC..11..125W,"5, V, Photographic",,,,18.47
46,25.34,,1.170,Brightest Stars,1985ApJ...289..141E,"Photographic, M supergiants",,,,
19,25.98,0.15,1.570,Cepheids,1985AJ.....90.1967D,"Photographic, 5",,,,
48,25.41,,1.210,Tully-Fisher,1984A&AS...56..381B,Diameter,,,103.00,
49,25.69,,1.370,Tully-Fisher,1984A&AS...56..381B,Mean of B mag and Diameter TF relation,,,103.00,
50,25.82,,1.460,Tully-Fisher,1984A&AS...56..381B,B,,,103.00,
