No.,(m-M),err(m-M),Distance,Method,Reference,Notes,SN Name,Redshift,H0,LMCModulus
5,27.06,0.14,2.580,TRGB,2015AstL...41..239T,,,,,
6,27.11,0.08,2.640,TRGB,2013AJ....146...86T,,,,74.40,
1,27.04,,2.560,CMD,2012ApJ...748...47M,,,,,
2,26.98,0.10,2.490,TRGB,2012A&A...540A..49M,,,,,
4,27.06,0.02,2.580,TRGB,2009ApJS..183...67D,I,,,,
7,27.12,0.08,2.650,TRGB,2009AJ....138..332J,I,,,,
8,27.15,0.04,2.690,TRGB,2006AJ....132..729T,,,,,
3,27.04,0.13,2.560,TRGB,2002A&A...389..812K,,,,,
9,27.13,0.40,2.700,Tully-Fisher,1988NBGC.C....0000T,B,,,75.00,
